dissertation_id,aha_dissertation_id,scholar_id,aha_scholar_id,role
1377,7298,6483,31689,chair
1380,7301,28602,132252,chair
1380,7301,30602,137611,reader
1381,7302,6236,23121,chair
1382,7303,3205,15291,chair
1384,7305,26999,126171,chair
1386,7307,3987,17326,chair
1387,7308,19052,89938,chair
1388,7309,4526,18720,chair
1390,7311,21009,102354,chair
1391,7312,5918,22327,chair
1393,7314,28770,132519,chair
1394,7315,5897,22273,chair
1397,7319,1250,7960,chair
1398,7320,4061,17540,chair
1399,7321,10397,50303,chair
1400,7322,23150,115241,chair
1402,7324,30427,137409,chair
1403,7326,15206,73028,chair
1405,7328,17190,81946,chair
1406,7329,10322,49917,chair
1408,7331,3509,16070,chair
1410,7333,550,6049,chair
1413,7336,485,5868,chair
1416,7339,24420,118188,chair
1420,7343,3434,15869,chair
1422,7345,23122,115183,chair
1423,7346,30273,137222,chair
1424,7347,3008,12643,chair
1426,7349,7635,38778,chair
1427,7350,16097,77307,chair
1428,7353,26958,126116,chair
1430,7355,6741,32644,chair
1431,7357,7114,35936,chair
1432,7358,23158,115249,chair
1433,7359,19473,92362,chair
1437,7363,1418,8387,chair
1438,7364,434,5727,chair
1440,7366,4356,18273,chair
1441,7367,12714,61119,chair
1448,7374,6730,32619,chair
1453,7379,27336,127217,chair
1463,7389,23946,117072,chair
1465,7391,2402,11057,chair
1467,7393,26819,125899,chair
1469,7395,28781,132531,chair
1473,7399,30221,137152,chair
1475,7402,1025,7351,chair
1476,7403,3380,15733,chair
1480,7407,9529,46544,chair
1482,7409,30748,137798,chair
1484,7411,29737,136293,chair
1486,7413,10492,50735,chair
1487,7414,2015,10040,chair
1488,7415,20819,101364,chair
1490,7417,16080,77268,chair
1490,7417,11981,57829,reader
1492,7420,30662,137678,chair
1492,7420,30820,137918,reader
1493,7421,3369,15712,chair
1493,7421,14179,67991,reader
1495,7423,5212,20577,chair
1495,7423,1004,7303,reader
1496,7424,24134,117475,chair
1497,7425,13778,65784,chair
1498,7426,20461,99707,chair
1500,7428,21558,105145,chair
1502,7430,29674,136167,chair
1502,7430,4875,19657,reader
1503,7431,23941,117067,chair
1505,7433,1566,8753,chair
1507,7435,3736,16613,chair
1508,7436,24898,119490,chair
1510,7438,2123,10344,chair
1511,7439,30574,137579,chair
1512,7440,4512,18680,chair
1517,7445,9891,48281,chair
1518,7446,23446,115854,chair
1519,7447,30321,137290,chair
1520,7448,28764,132513,chair
1521,7449,3290,15494,chair
1523,7451,5057,20136,chair
1525,7453,4813,19466,chair
1529,7457,10029,48855,chair
1531,7459,20740,101134,chair
1531,7459,24440,118220,reader
1533,7461,23103,115157,chair
1540,7468,425,5706,chair
1546,7474,30444,137429,chair
1547,7475,12898,61814,chair
1550,7478,30729,137773,chair
1551,7479,100,1901,chair
1552,7480,14713,70612,chair
1554,7482,30495,137486,chair
1557,7486,20371,99066,chair
1559,7488,21791,106907,chair
1561,7490,6444,31509,chair
1563,7492,450,5755,chair
1565,7494,4137,17713,chair
1569,7498,6611,32162,chair
1570,7499,24785,119152,chair
1573,7502,28779,132529,chair
1574,7503,5695,21760,chair
1578,7507,7914,39706,chair
1578,7507,4599,18912,reader
1580,7509,25014,119676,chair
1583,7512,8606,42238,chair
1585,7514,5130,20360,chair
1587,7516,15727,75864,chair
1588,7517,6701,32520,chair
1590,7519,8099,40289,chair
1595,7524,6546,31903,chair
1596,7525,24071,117254,chair
1598,7527,29674,136167,chair
1599,7528,11129,53582,chair
1604,7533,4092,17603,chair
1609,7538,900,7028,chair
1611,7541,25014,119676,chair
1616,7546,11172,53815,chair
1617,7547,9847,48100,chair
1620,7550,4128,17699,chair
1621,7551,25300,120202,chair
1622,7552,24408,118171,chair
1624,7554,872,6947,chair
1627,7558,8728,42712,chair
1627,7558,16095,77304,reader
1628,7559,1933,9775,chair
1630,7561,25273,120150,chair
1631,7562,8084,40237,chair
1634,7565,13253,63776,chair
1637,7568,12909,61843,chair
1638,7569,1429,8410,chair
1639,7570,8107,40315,chair
1639,7570,21192,103086,reader
1641,7572,25272,120149,chair
